# u_min=1, u_max=10, r_max=134217728, terms_max=8192
# sieve_limit=134225929
# timestamp=20260429-153828
first_term,last_term,terms,u,v,r,objective,a,power_2_a,n,m_n
11*594467,29*594523,6,5,10,48678,66584576,19,524288,7,127
11*1198321,29*1198399,6,5,10,92814,134217726,1,2,26,67108863
11*143165567,19*143165587,4,5,8,8080885,8589934528,6,64,27,134217727
11*167026429,37*167026591,8,5,12,9345977,30064771072,32,4294967296,3,7
11*277383277,19*277383313,4,5,8,15091501,16642998272,29,536870912,5,31
13*131,17*137,2,6,7,26,4032,6,64,6,63
13*421,137*599,28,6,33,76,1048572,2,4,18,262143
13*1091,17*1093,2,6,7,176,32764,2,4,13,8191
13*3947,97*4127,20,6,25,542,4194288,4,16,18,262143
13*13831,461*14669,84,6,89,1629,268435328,7,128,21,2097151
13*17449,17*17467,2,6,7,2001,523776,9,512,10,1023
13*254161,31*254213,6,6,11,22369,33554304,7,128,18,262143
13*7102297,47*7102387,10,6,15,483173,2130706432,24,16777216,7,127
13*32535583,31*32535677,6,6,11,2004803,4294705152,18,262144,14,16383
13*793563523,1567*793568249,242,6,247,40832036,140737488289792,16,65536,31,2147483647
17*1483,29*1493,4,7,10,228,131008,6,64,11,2047
17*14533,19*14537,2,7,8,1694,523264,10,1024,9,511
17*1525093,29*1525123,4,7,10,115937,134209536,13,8192,14,16383
17*3728267,19*3728273,2,7,8,265274,134217726,1,2,26,67108863
17*954437161,19*954437191,2,7,8,48646086,34359738366,1,2,34,17179869183
19*151,31*167,4,8,11,28,16384,14,16384,1,1
19*14281,2749*18049,394,8,401,1668,8589926400,13,8192,20,1048575
19*409044481,23*409044523,2,8,9,21792599,17179869168,4,16,30,1073741823
23*37,29*41,2,9,10,3,2040,3,8,8,255
23*89,23*89,1,9,9,15,2047,0,1,11,2047
23*4877,29*4889,2,9,10,644,253952,13,8192,5,31
23*5107,43*5167,6,9,14,674,1048320,8,256,12,4095
23*20143,29*20147,2,9,10,2269,1047552,10,1024,10,1023
23*68791,37*68821,4,9,12,6829,8257536,17,131072,6,63
23*657581,43*657649,6,9,14,53377,134152192,16,65536,11,2047
23*9400019,409*9401059,72,9,80,627393,137438953472,37,137438953472,1,1
23*20003597,29*20003609,2,9,10,1270811,1040187392,25,33554432,5,31
23*836041919,491*836043907,86,9,94,42902604,17523466567680,36,68719476736,8,255
29*31,31*37,2,10,11,1,2046,1,2,10,1023
29*2879,43*2909,5,10,14,407,524287,0,1,19,524287
29*24623,59*24697,8,10,17,2718,8388480,7,128,16,65535
29*1118479,31*1118483,2,10,11,87059,67108864,26,67108864,1,1
29*449146741,73*449146903,12,10,21,23810122,274877874176,15,32768,23,8388607
